,close,contract,high,low,open,source,time,timestamp,volume
693,8159.57,okef/btc.usd.n,8166.53,8138.57,8142.89,,2019-06-13T02:15:00+08:00,1560363300,2856
694,8146.37,okef/btc.usd.n,8160.28,8145.68,8158.51,,2019-06-13T02:30:00+08:00,1560364200,1543
695,8150.25,okef/btc.usd.n,8160.41,8143.01,8146.95,,2019-06-13T02:45:00+08:00,1560365100,1597
696,8146.62,okef/btc.usd.n,8160.36,8129.64,8149.02,,2019-06-13T03:00:00+08:00,1560366000,2669
697,8163.63,okef/btc.usd.n,8174.66,8142.88,8142.88,,2019-06-13T03:15:00+08:00,1560366900,1557
698,8158.84,okef/btc.usd.n,8172.38,8155.42,8167.49,,2019-06-13T03:30:00+08:00,1560367800,1510
699,8165.6,okef/btc.usd.n,8166.69,8158.09,8160.94,,2019-06-13T03:45:00+08:00,1560368700,1714
700,8151.93,okef/btc.usd.n,8172.43,8144.85,8164.87,,2019-06-13T04:00:00+08:00,1560369600,2507
701,8132.5,okef/btc.usd.n,8149.18,8100.0,8147.22,,2019-06-13T04:15:00+08:00,1560370500,4617
702,8111.43,okef/btc.usd.n,8130.86,8092.21,8130.86,,2019-06-13T04:30:00+08:00,1560371400,3619
703,8123.54,okef/btc.usd.n,8130.84,8098.52,8110.95,,2019-06-13T04:45:00+08:00,1560372300,2719
704,8135.08,okef/btc.usd.n,8135.08,8119.33,8124.11,,2019-06-13T05:00:00+08:00,1560373200,2336
705,8140.95,okef/btc.usd.n,8150.21,8131.98,8139.71,,2019-06-13T05:15:00+08:00,1560374100,2006
706,8133.94,okef/btc.usd.n,8150.91,8132.78,8140.45,,2019-06-13T05:30:00+08:00,1560375000,1395
707,8149.42,okef/btc.usd.n,8161.06,8133.72,8136.73,,2019-06-13T05:45:00+08:00,1560375900,1678
708,8151.49,okef/btc.usd.n,8152.85,8141.04,8146.9,,2019-06-13T06:00:00+08:00,1560376800,1546
709,8129.61,okef/btc.usd.n,8154.14,8129.28,8151.1,,2019-06-13T06:15:00+08:00,1560377700,4087
710,8130.85,okef/btc.usd.n,8132.48,8113.02,8128.19,,2019-06-13T06:30:00+08:00,1560378600,3640
711,8158.0,okef/btc.usd.n,8158.0,8126.87,8127.35,,2019-06-13T06:45:00+08:00,1560379500,2256
712,8128.05,okef/btc.usd.n,8164.75,8125.0,8158.12,,2019-06-13T07:00:00+08:00,1560380400,4109
713,8124.25,okef/btc.usd.n,8138.01,8110.0,8128.57,,2019-06-13T07:15:00+08:00,1560381300,4227
714,8129.24,okef/btc.usd.n,8146.28,8125.76,8126.13,,2019-06-13T07:30:00+08:00,1560382200,1964
715,8169.69,okef/btc.usd.n,8178.81,8125.22,8127.0,,2019-06-13T07:45:00+08:00,1560383100,4903
716,8160.0,okef/btc.usd.n,8170.36,8144.06,8170.36,,2019-06-13T08:00:00+08:00,1560384000,2937
717,8151.06,okef/btc.usd.n,8194.11,8142.28,8167.12,,2019-06-13T08:15:00+08:00,1560384900,5210
718,8161.38,okef/btc.usd.n,8171.67,8139.1,8152.44,,2019-06-13T08:30:00+08:00,1560385800,2261
719,8161.71,okef/btc.usd.n,8178.66,8155.8,8156.19,,2019-06-13T08:45:00+08:00,1560386700,2786
720,8152.8,okef/btc.usd.n,8169.41,8152.8,8161.71,,2019-06-13T09:00:00+08:00,1560387600,1845
721,8135.0,okef/btc.usd.n,8156.5,8135.0,8152.97,,2019-06-13T09:15:00+08:00,1560388500,1938
722,8150.89,okef/btc.usd.n,8153.69,8132.89,8132.89,,2019-06-13T09:30:00+08:00,1560389400,1622
723,8136.65,okef/btc.usd.n,8150.68,8130.34,8150.34,,2019-06-13T09:45:00+08:00,1560390300,1855
724,8138.67,okef/btc.usd.n,8139.23,8111.43,8137.49,,2019-06-13T10:00:00+08:00,1560391200,6431
725,8122.89,okef/btc.usd.n,8135.6,8116.82,8131.74,,2019-06-13T10:15:00+08:00,1560392100,2773
726,8114.46,okef/btc.usd.n,8138.53,8113.43,8126.32,,2019-06-13T10:30:00+08:00,1560393000,2089
727,8096.56,okef/btc.usd.n,8127.84,8096.34,8116.03,,2019-06-13T10:45:00+08:00,1560393900,5058
728,8115.38,okef/btc.usd.n,8119.01,8053.9,8093.04,,2019-06-13T11:00:00+08:00,1560394800,8371
729,8121.88,okef/btc.usd.n,8125.09,8109.74,8115.09,,2019-06-13T11:15:00+08:00,1560395700,3022
730,8120.68,okef/btc.usd.n,8133.61,8120.32,8121.79,,2019-06-13T11:30:00+08:00,1560396600,2835
731,8118.93,okef/btc.usd.n,8121.39,8112.61,8119.57,,2019-06-13T11:45:00+08:00,1560397500,2261
732,8109.13,okef/btc.usd.n,8127.3,8100.78,8119.56,,2019-06-13T12:00:00+08:00,1560398400,5944
733,8123.73,okef/btc.usd.n,8129.49,8099.32,8109.22,,2019-06-13T12:15:00+08:00,1560399300,4996
734,8137.97,okef/btc.usd.n,8144.6,8117.72,8123.88,,2019-06-13T12:30:00+08:00,1560400200,3571
735,8144.48,okef/btc.usd.n,8157.79,8136.86,8138.44,,2019-06-13T12:45:00+08:00,1560401100,2519
736,8129.93,okef/btc.usd.n,8143.41,8129.35,8143.41,,2019-06-13T13:00:00+08:00,1560402000,6856
737,8125.97,okef/btc.usd.n,8136.81,8125.38,8130.29,,2019-06-13T13:15:00+08:00,1560402900,4257
738,8125.84,okef/btc.usd.n,8129.96,8116.37,8125.97,,2019-06-13T13:30:00+08:00,1560403800,1617
739,8130.55,okef/btc.usd.n,8131.75,8123.06,8123.23,,2019-06-13T13:45:00+08:00,1560404700,3931
740,8118.61,okef/btc.usd.n,8130.54,8101.29,8130.54,,2019-06-13T14:00:00+08:00,1560405600,2467
741,8111.23,okef/btc.usd.n,8116.64,8098.05,8116.63,,2019-06-13T14:15:00+08:00,1560406500,1769
742,8126.94,okef/btc.usd.n,8134.25,8110.1,8111.58,,2019-06-13T14:30:00+08:00,1560407400,9230
743,8114.53,okef/btc.usd.n,8126.56,8113.63,8125.9,,2019-06-13T14:45:00+08:00,1560408300,1972
744,8118.53,okef/btc.usd.n,8121.41,8115.27,8117.47,,2019-06-13T15:00:00+08:00,1560409200,3366
745,8129.42,okef/btc.usd.n,8141.13,8118.91,8118.91,,2019-06-13T15:15:00+08:00,1560410100,2269
746,8134.01,okef/btc.usd.n,8135.47,8120.0,8129.53,,2019-06-13T15:30:00+08:00,1560411000,1532
747,8126.75,okef/btc.usd.n,8144.02,8125.15,8134.71,,2019-06-13T15:45:00+08:00,1560411900,1853
748,8121.53,okef/btc.usd.n,8130.45,8119.21,8126.75,,2019-06-13T16:00:00+08:00,1560412800,2438
749,8123.19,okef/btc.usd.n,8129.02,8116.3,8120.0,,2019-06-13T16:15:00+08:00,1560413700,2784
750,8138.59,okef/btc.usd.n,8139.96,8116.3,8122.16,,2019-06-13T16:30:00+08:00,1560414600,1700
751,8137.32,okef/btc.usd.n,8147.08,8132.09,8142.0,,2019-06-13T16:45:00+08:00,1560415500,1837
752,8126.48,okef/btc.usd.n,8136.82,8121.96,8136.81,,2019-06-13T17:00:00+08:00,1560416400,1553
753,8127.92,okef/btc.usd.n,8134.51,8107.94,8123.73,,2019-06-13T17:15:00+08:00,1560417300,3315
754,8106.38,okef/btc.usd.n,8130.13,8106.29,8129.18,,2019-06-13T17:30:00+08:00,1560418200,2497
755,8120.12,okef/btc.usd.n,8125.0,8074.73,8105.01,,2019-06-13T17:45:00+08:00,1560419100,4049
756,8120.88,okef/btc.usd.n,8122.63,8111.41,8114.45,,2019-06-13T18:00:00+08:00,1560420000,1558
757,8095.88,okef/btc.usd.n,8119.27,8077.91,8119.03,,2019-06-13T18:15:00+08:00,1560420900,8953
758,8098.03,okef/btc.usd.n,8111.71,8087.24,8093.04,,2019-06-13T18:30:00+08:00,1560421800,2550
